flight_id,flight_date,origin,destination,aircraft_id,aircraft_type,scheduled_departure,scheduled_duration_min,delay_reason,departure_delay_min,cancelled,passengers
FL000058,2025-01-03,HEL,FRA,OH-A147,A321,2025-01-03 19:56:00,70,None,0,False,118
FL000059,2025-01-03,HEL,FCO,OH-A105,E190,2025-01-03 21:59:00,427,None,0,False,83
FL000060,2025-01-03,HEL,BKK,OH-A104,A321,2025-01-03 20:14:00,436,None,0,False,157
FL000061,2025-01-03,HEL,JFK,OH-A106,A350,2025-01-03 18:12:00,536,None,0,False,202
FL000062,2025-01-03,HEL,BKK,OH-A131,E190,2025-01-03 05:36:00,567,None,0,False,92
FL000063,2025-01-03,HEL,BKK,OH-A129,A350,2025-01-03 18:37:00,608,None,0,False,196
FL000064,2025-01-03,HEL,CPH,OH-A102,E190,2025-01-03 18:36:00,429,ATC,39,False,92
FL000065,2025-01-03,HEL,LHR,OH-A140,A320,2025-01-03 05:40:00,301,None,0,False,150
FL000066,2025-01-03,HEL,FCO,OH-A124,A350,2025-01-03 17:40:00,355,None,0,False,223
FL000067,2025-01-03,HEL,BCN,OH-A107,A350,2025-01-03 17:29:00,512,None,0,False,176
FL000068,2025-01-03,HEL,ARN,OH-A134,A320,2025-01-03 21:39:00,345,None,0,False,100
FL000069,2025-01-03,HEL,CPH,OH-A129,A350,2025-01-03 05:43:00,47,ATC,5,False,213
FL000070,2025-01-03,HEL,MUC,OH-A104,A321,2025-01-03 08:07:00,487,Late Aircraft,18,False,138
FL000071,2025-01-04,HEL,NRT,OH-A106,A350,2025-01-04 21:32:00,113,None,0,False,181
FL000072,2025-01-04,HEL,BCN,OH-A129,A350,2025-01-04 18:21:00,291,None,0,False,245
FL000073,2025-01-04,HEL,FRA,OH-A107,A350,2025-01-04 19:16:00,280,None,0,False,192
FL000074,2025-01-04,HEL,OSL,OH-A144,A350,2025-01-04 10:04:00,65,None,0,False,219
FL000075,2025-01-04,HEL,LHR,OH-A104,A321,2025-01-04 10:57:00,374,Weather,27,False,168
FL000076,2025-01-04,HEL,BKK,OH-A129,A350,2025-01-04 09:11:00,226,None,0,False,269
FL000077,2025-01-04,HEL,MUC,OH-A125,A321,2025-01-04 13:56:00,404,None,0,False,148
FL000078,2025-01-04,HEL,CDG,OH-A126,A320,2025-01-04 07:10:00,554,None,0,False,168
FL000079,2025-01-04,HEL,AMS,OH-A112,A350,2025-01-04 09:10:00,504,Crew,51,False,205
FL000080,2025-01-04,HEL,BCN,OH-A139,A350,2025-01-04 06:19:00,76,None,0,False,200
FL000081,2025-01-04,HEL,MUC,OH-A135,A321,2025-01-04 06:07:00,225,None,0,False,185
FL000082,2025-01-04,HEL,MAD,OH-A133,A320,2025-01-04 12:03:00,537,None,0,False,124
FL000083,2025-01-04,HEL,LHR,OH-A132,A321,2025-01-04 13:38:00,113,Ground Handling,95,False,149
FL000084,2025-01-04,HEL,MAD,OH-A120,A350,2025-01-04 18:06:00,223,Weather,27,False,255
FL000085,2025-01-04,HEL,FRA,OH-A116,A320,2025-01-04 16:28:00,51,None,0,False,111
FL000086,2025-01-04,HEL,BKK,OH-A134,A320,2025-01-04 12:06:00,140,Late Aircraft,10,False,161
FL000087,2025-01-04,HEL,OSL,OH-A138,A321,2025-01-04 16:03:00,614,None,0,False,127
FL000088,2025-01-04,HEL,OSL,OH-A115,A321,2025-01-04 19:12:00,91,None,0,False,186
FL000089,2025-01-04,HEL,FRA,OH-A144,A350,2025-01-04 10:12:00,131,ATC,46,False,187
FL000090,2025-01-04,HEL,MUC,OH-A109,A320,2025-01-04 08:18:00,212,None,0,False,134
FL000091,2025-01-04,HEL,MAD,OH-A100,A350,2025-01-04 09:34:00,93,Crew,41,False,195
FL000092,2025-01-04,HEL,AMS,OH-A119,A350,2025-01-04 18:30:00,430,None,0,False,265
FL000093,2025-01-04,HEL,NRT,OH-A135,A321,2025-01-04 19:58:00,355,Crew,48,False,146
FL000094,2025-01-04,HEL,FRA,OH-A133,A320,2025-01-04 11:17:00,534,ATC,16,False,135
FL000095,2025-01-05,HEL,CDG,OH-A129,A350,2025-01-05 16:44:00,578,None,0,False,223
FL000096,2025-01-05,HEL,BCN,OH-A127,A321,2025-01-05 12:03:00,49,Weather,39,False,140
FL000097,2025-01-05,HEL,FRA,OH-A138,A321,2025-01-05 19:56:00,401,Technical,44,False,159
FL000098,2025-01-05,HEL,JFK,OH-A113,A350,2025-01-05 15:35:00,598,Crew,52,False,268
FL000099,2025-01-05,HEL,MUC,OH-A138,A321,2025-01-05 16:02:00,298,None,0,False,167
FL000100,2025-01-05,HEL,MUC,OH-A105,E190,2025-01-05 07:37:00,611,Weather,5,False,68
FL000101,2025-01-05,HEL,CPH,OH-A124,A350,2025-01-05 21:22:00,491,Late Aircraft,41,False,229
FL000102,2025-01-05,HEL,ARN,OH-A111,E190,2025-01-05 06:15:00,281,None,0,False,91
FL000103,2025-01-05,HEL,AMS,OH-A125,A321,2025-01-05 09:31:00,506,Crew,46,False,202
FL000104,2025-01-05,HEL,BKK,OH-A145,A350,2025-01-05 11:16:00,73,None,0,False,177
FL000105,2025-01-05,HEL,NRT,OH-A131,E190,2025-01-05 05:08:00,489,Weather,52,False,94
FL000106,2025-01-05,HEL,BCN,OH-A143,A321,2025-01-05 06:43:00,179,Crew,35,False,173
FL000107,2025-01-05,HEL,BCN,OH-A112,A350,2025-01-05 14:01:00,434,None,0,False,166
FL000108,2025-01-05,HEL,AMS,OH-A129,A350,2025-01-05 09:19:00,431,Crew,75,False,195
FL000109,2025-01-05,HEL,OSL,OH-A143,A321,2025-01-05 17:03:00,216,None,0,False,170
FL000110,2025-01-05,HEL,ARN,OH-A126,A320,2025-01-05 19:43:00,554,None,0,False,110
FL000111,2025-01-05,HEL,CDG,OH-A121,A320,2025-01-05 12:13:00,457,Late Aircraft,39,False,159
FL000112,2025-01-05,HEL,CDG,OH-A125,A321,2025-01-05 07:01:00,123,Late Aircraft,5,False,169
FL000113,2025-01-05,HEL,OSL,OH-A102,E190,2025-01-05 13:25:00,270,None,0,False,97
FL000114,2025-01-05,HEL,LHR,OH-A104,A321,2025-01-05 06:24:00,255,None,0,False,120
FL000115,2025-01-05,HEL,ARN,OH-A114,A320,2025-01-05 21:22:00,305,None,0,False,145
FL000116,2025-01-06,HEL,BKK,OH-A111,E190,2025-01-06 10:28:00,217,None,0,False,55
FL000117,2025-01-06,HEL,BKK,OH-A113,A350,2025-01-06 14:32:00,79,Technical,30,False,279
FL000118,2025-01-06,HEL,FCO,OH-A122,E190,2025-01-06 21:54:00,591,None,0,False,85
FL000119,2025-01-06,HEL,MUC,OH-A143,A321,2025-01-06 18:23:00,198,None,0,False,144
FL000120,2025-01-06,HEL,MUC,OH-A104,A321,2025-01-06 16:05:00,290,Ground Handling,42,False,127
FL000121,2025-01-06,HEL,BKK,OH-A101,A320,2025-01-06 21:18:00,584,None,0,False,99
FL000122,2025-01-06,HEL,LHR,OH-A111,E190,2025-01-06 06:06:00,373,None,0,False,91
FL000123,2025-01-06,HEL,CDG,OH-A115,A321,2025-01-06 05:51:00,72,None,0,False,188
FL000124,2025-01-06,HEL,NRT,OH-A102,E190,2025-01-06 16:52:00,561,None,0,False,77
FL000125,2025-01-06,HEL,AMS,OH-A118,A350,2025-01-06 12:04:00,177,None,0,False,218
FL000126,2025-01-06,HEL,LHR,OH-A141,A350,2025-01-06 05:01:00,138,None,0,False,166
FL000127,2025-01-06,HEL,MUC,OH-A115,A321,2025-01-06 12:19:00,280,Technical,9,False,135
FL000128,2025-01-06,HEL,CDG,OH-A115,A321,2025-01-06 09:07:00,388,None,0,False,146
FL000129,2025-01-06,HEL,NRT,OH-A110,A320,2025-01-06 10:37:00,472,Ground Handling,6,False,164
FL000130,2025-01-06,HEL,NRT,OH-A134,A320,2025-01-06 07:33:00,155,None,0,False,96
FL000131,2025-01-06,HEL,CDG,OH-A144,A350,2025-01-06 05:09:00,96,None,0,False,183
FL000132,2025-01-06,HEL,MUC,OH-A105,E190,2025-01-06 15:32:00,451,None,0,False,65
FL000133,2025-01-06,HEL,BKK,OH-A128,A321,2025-01-06 19:26:00,440,None,0,False,165
FL000134,2025-01-06,HEL,FCO,OH-A129,A350,2025-01-06 07:45:00,308,Technical,12,False,196
FL000135,2025-01-06,HEL,LHR,OH-A144,A350,2025-01-06 12:43:00,365,None,0,False,173
FL000136,2025-01-06,HEL,BCN,OH-A117,A321,2025-01-06 18:49:00,467,None,0,False,124
FL000137,2025-01-06,HEL,BCN,OH-A128,A321,2025-01-06 08:40:00,215,None,0,False,193
FL000138,2025-01-06,HEL,MAD,OH-A103,A350,2025-01-06 05:30:00,540,None,0,False,257
FL000139,2025-01-06,HEL,ARN,OH-A107,A350,2025-01-06 17:19:00,424,Weather,78,False,179
FL000140,2025-01-06,HEL,CDG,OH-A142,A350,2025-01-06 15:05:00,130,None,0,False,253
FL000141,2025-01-06,HEL,JFK,OH-A133,A320,2025-01-06 07:56:00,79,None,0,False,116
FL000142,2025-01-07,HEL,NRT,OH-A134,A320,2025-01-07 12:36:00,74,None,0,False,142
FL000143,2025-01-07,HEL,ARN,OH-A146,A320,2025-01-07 08:13:00,525,None,0,False,96
FL000144,2025-01-07,HEL,MUC,OH-A140,A320,2025-01-07 19:15:00,547,None,0,False,115
FL000145,2025-01-07,HEL,BKK,OH-A125,A321,2025-01-07 17:46:00,272,Weather,62,False,179
FL000146,2025-01-07,HEL,BCN,OH-A134,A320,2025-01-07 07:32:00,610,None,0,False,128
FL000147,2025-01-07,HEL,BCN,OH-A101,A320,2025-01-07 11:05:00,502,None,0,False,136
FL000148,2025-01-07,HEL,AMS,OH-A137,A320,2025-01-07 16:10:00,556,Weather,41,False,126
FL000149,2025-01-07,HEL,CPH,OH-A112,A350,2025-01-07 16:35:00,147,Crew,42,False,189
FL000150,2025-01-07,HEL,BCN,OH-A116,A320,2025-01-07 19:57:00,315,ATC,35,False,153
FL000151,2025-01-07,HEL,NRT,OH-A104,A321,2025-01-07 16:05:00,471,Technical,74,False,184
FL000152,2025-01-07,HEL,CPH,OH-A137,A320,2025-01-07 16:53:00,564,Technical,26,False,164
FL000153,2025-01-07,HEL,NRT,OH-A120,A350,2025-01-07 12:44:00,472,Late Aircraft,35,False,166
FL000154,2025-01-07,HEL,AMS,OH-A144,A350,2025-01-07 15:41:00,555,None,0,False,216
FL000155,2025-01-07,HEL,MUC,OH-A127,A321,2025-01-07 11:32:00,379,None,0,False,153
FL000156,2025-01-07,HEL,OSL,OH-A124,A350,2025-01-07 06:09:00,313,None,0,False,189
FL000157,2025-01-07,HEL,BCN,OH-A136,A321,2025-01-07 10:38:00,120,Weather,5,False,129
FL000158,2025-01-07,HEL,OSL,OH-A134,A320,2025-01-07 08:22:00,185,Technical,37,False,102
FL000159,2025-01-07,HEL,LHR,OH-A122,E190,2025-01-07 21:35:00,161,None,0,False,63
FL000160,2025-01-08,HEL,LHR,OH-A143,A321,2025-01-08 21:44:00,105,Late Aircraft,5,False,153
FL000161,2025-01-08,HEL,CPH,OH-A106,A350,2025-01-08 10:10:00,586,None,0,False,273
FL000162,2025-01-08,HEL,ARN,OH-A140,A320,2025-01-08 15:29:00,472,None,0,False,101
FL000163,2025-01-08,HEL,ARN,OH-A112,A350,2025-01-08 07:43:00,306,Crew,18,False,262
FL000164,2025-01-08,HEL,FRA,OH-A114,A320,2025-01-08 11:18:00,532,None,0,False,97
FL000165,2025-01-08,HEL,CPH,OH-A137,A320,2025-01-08 08:30:00,69,Ground Handling,86,False,153
FL000166,2025-01-08,HEL,BKK,OH-A104,A321,2025-01-08 09:29:00,266,Crew,16,False,119
FL000167,2025-01-08,HEL,LHR,OH-A121,A320,2025-01-08 09:10:00,151,Weather,63,False,154
FL000168,2025-01-08,HEL,MAD,OH-A116,A320,2025-01-08 14:01:00,352,None,0,False,118
FL000169,2025-01-08,HEL,MAD,OH-A107,A350,2025-01-08 20:58:00,66,ATC,20,False,201
FL000170,2025-01-08,HEL,FRA,OH-A123,E190,2025-01-08 14:00:00,304,None,0,False,71
FL000171,2025-01-08,HEL,NRT,OH-A106,A350,2025-01-08 07:08:00,251,Ground Handling,64,False,182
FL000172,2025-01-08,HEL,CPH,OH-A107,A350,2025-01-08 14:25:00,259,None,0,False,281
FL000173,2025-01-08,HEL,LHR,OH-A101,A320,2025-01-08 07:01:00,263,ATC,57,False,100
FL000174,2025-01-08,HEL,LHR,OH-A122,E190,2025-01-08 11:48:00,603,None,0,False,93
FL000175,2025-01-08,HEL,CPH,OH-A147,A321,2025-01-08 18:54:00,126,Weather,5,False,193
FL000176,2025-01-08,HEL,CDG,OH-A144,A350,2025-01-08 10:48:00,437,None,0,False,170
FL000177,2025-01-08,HEL,CDG,OH-A138,A321,2025-01-08 15:35:00,423,Technical,45,False,134
FL000178,2025-01-08,HEL,FCO,OH-A144,A350,2025-01-08 12:26:00,350,None,0,True,237
FL000179,2025-01-08,HEL,CDG,OH-A147,A321,2025-01-08 09:46:00,206,None,0,False,190
FL000180,2025-01-08,HEL,NRT,OH-A106,A350,2025-01-08 07:35:00,294,None,0,False,183
FL000181,2025-01-08,HEL,FCO,OH-A144,A350,2025-01-08 10:25:00,417,Weather,62,False,251
FL000182,2025-01-09,HEL,CPH,OH-A125,A321,2025-01-09 16:13:00,476,None,0,False,182
FL000183,2025-01-09,HEL,FRA,OH-A117,A321,2025-01-09 17:33:00,467,None,0,False,128
FL000184,2025-01-09,HEL,BCN,OH-A134,A320,2025-01-09 13:39:00,384,ATC,55,False,127
FL000185,2025-01-09,HEL,BKK,OH-A116,A320,2025-01-09 11:56:00,445,None,0,False,161
FL000186,2025-01-09,HEL,MUC,OH-A104,A321,2025-01-09 16:20:00,231,None,0,False,143
FL000187,2025-01-09,HEL,CDG,OH-A100,A350,2025-01-09 10:33:00,555,None,0,False,289
FL000188,2025-01-09,HEL,MUC,OH-A141,A350,2025-01-09 09:11:00,476,None,0,False,280
FL000189,2025-01-09,HEL,OSL,OH-A113,A350,2025-01-09 07:21:00,485,None,0,False,286
FL000190,2025-01-09,HEL,CPH,OH-A143,A321,2025-01-09 08:26:00,471,None,0,False,187
FL000191,2025-01-09,HEL,MAD,OH-A145,A350,2025-01-09 15:22:00,379,None,0,False,171
FL000192,2025-01-09,HEL,BKK,OH-A115,A321,2025-01-09 21:35:00,457,None,0,False,166
FL000193,2025-01-09,HEL,JFK,OH-A101,A320,2025-01-09 11:48:00,355,ATC,59,False,109
FL000194,2025-01-09,HEL,BCN,OH-A144,A350,2025-01-09 19:31:00,532,None,0,False,258
FL000195,2025-01-09,HEL,ARN,OH-A123,E190,2025-01-09 15:44:00,299,None,0,False,73
FL000196,2025-01-09,HEL,BKK,OH-A143,A321,2025-01-09 20:42:00,593,Crew,45,False,209
FL000197,2025-01-09,HEL,FRA,OH-A136,A321,2025-01-09 17:57:00,179,None,0,False,181
FL000198,2025-01-09,HEL,CDG,OH-A111,E190,2025-01-09 15:57:00,393,None,0,False,76
FL000199,2025-01-09,HEL,NRT,OH-A128,A321,2025-01-09 11:58:00,253,None,0,False,141
FL000200,2025-01-09,HEL,FCO,OH-A141,A350,2025-01-09 07:51:00,373,None,0,False,224
FL000201,2025-01-09,HEL,FCO,OH-A138,A321,2025-01-09 19:15:00,122,None,0,False,172
FL000202,2025-01-09,HEL,LHR,OH-A105,E190,2025-01-09 11:37:00,111,Late Aircraft,12,False,56
FL000203,2025-01-09,HEL,BKK,OH-A120,A350,2025-01-09 15:32:00,275,Ground Handling,70,False,289
FL000204,2025-01-09,HEL,FRA,OH-A106,A350,2025-01-09 18:26:00,383,None,0,False,193
FL000205,2025-01-10,HEL,FRA,OH-A132,A321,2025-01-10 07:00:00,463,None,0,False,207
FL000206,2025-01-10,HEL,CPH,OH-A108,A321,2025-01-10 08:34:00,289,None,0,False,118
FL000207,2025-01-10,HEL,MAD,OH-A115,A321,2025-01-10 16:34:00,497,Crew,67,False,193
FL000208,2025-01-10,HEL,JFK,OH-A111,E190,2025-01-10 17:08:00,475,None,0,False,91
FL000209,2025-01-10,HEL,BCN,OH-A112,A350,2025-01-10 14:41:00,127,None,0,False,281
FL000210,2025-01-10,HEL,OSL,OH-A114,A320,2025-01-10 09:46:00,351,None,0,True,100
FL000211,2025-01-10,HEL,OSL,OH-A104,A321,2025-01-10 19:27:00,295,None,0,False,188
FL000212,2025-01-10,HEL,AMS,OH-A135,A321,2025-01-10 10:49:00,518,None,0,False,130
FL000213,2025-01-10,HEL,MUC,OH-A112,A350,2025-01-10 14:24:00,518,Technical,69,False,235
FL000214,2025-01-10,HEL,MUC,OH-A126,A320,2025-01-10 14:59:00,469,Technical,32,False,115
FL000215,2025-01-10,HEL,LHR,OH-A134,A320,2025-01-10 10:15:00,312,None,0,False,124
FL000216,2025-01-10,HEL,MUC,OH-A131,E190,2025-01-10 21:21:00,477,None,0,False,60
FL000217,2025-01-10,HEL,CDG,OH-A107,A350,2025-01-10 05:44:00,145,None,0,False,274
FL000218,2025-01-10,HEL,MAD,OH-A140,A320,2025-01-10 21:47:00,123,None,0,False,147
FL000219,2025-01-10,HEL,JFK,OH-A108,A321,2025-01-10 21:12:00,548,ATC,5,False,207
FL000220,2025-01-10,HEL,MAD,OH-A122,E190,2025-01-10 21:05:00,422,Weather,10,False,68
FL000221,2025-01-10,HEL,ARN,OH-A118,A350,2025-01-10 11:18:00,521,None,0,False,258
FL000222,2025-01-10,HEL,BKK,OH-A144,A350,2025-01-10 11:19:00,390,None,0,False,228
FL000223,2025-01-10,HEL,ARN,OH-A112,A350,2025-01-10 06:45:00,480,None,0,False,274
FL000224,2025-01-10,HEL,BKK,OH-A136,A321,2025-01-10 07:14:00,200,None,0,False,164
FL000225,2025-01-10,HEL,ARN,OH-A130,A350,2025-01-10 19:21:00,434,None,0,False,171
FL000226,2025-01-10,HEL,MUC,OH-A128,A321,2025-01-10 18:09:00,559,None,0,False,176
FL000227,2025-01-10,HEL,CPH,OH-A104,A321,2025-01-10 19:06:00,315,Ground Handling,53,False,159
FL000228,2025-01-10,HEL,CPH,OH-A122,E190,2025-01-10 12:53:00,381,None,0,False,63
FL000229,2025-01-11,HEL,CPH,OH-A142,A350,2025-01-11 20:48:00,63,None,0,False,169
FL000230,2025-01-11,HEL,AMS,OH-A105,E190,2025-01-11 15:31:00,309,None,0,False,99
FL000231,2025-01-11,HEL,OSL,OH-A136,A321,2025-01-11 18:56:00,104,None,0,False,156
FL000232,2025-01-11,HEL,CPH,OH-A102,E190,2025-01-11 11:49:00,165,None,0,False,58
FL000233,2025-01-11,HEL,AMS,OH-A127,A321,2025-01-11 18:42:00,571,None,0,False,145
FL000234,2025-01-11,HEL,MUC,OH-A123,E190,2025-01-11 13:23:00,350,Late Aircraft,37,False,91
FL000235,2025-01-11,HEL,OSL,OH-A128,A321,2025-01-11 07:10:00,315,None,0,False,208
FL000236,2025-01-11,HEL,CPH,OH-A104,A321,2025-01-11 19:43:00,504,None,0,False,178
FL000237,2025-01-11,HEL,CPH,OH-A119,A350,2025-01-11 12:20:00,297,None,0,False,271
FL000238,2025-01-11,HEL,MAD,OH-A144,A350,2025-01-11 11:39:00,465,None,0,False,293
FL000239,2025-01-11,HEL,NRT,OH-A127,A321,2025-01-11 12:51:00,265,None,0,False,149
FL000240,2025-01-11,HEL,OSL,OH-A115,A321,2025-01-11 10:52:00,602,None,0,False,143
FL000241,2025-01-11,HEL,CDG,OH-A107,A350,2025-01-11 17:17:00,332,None,0,False,268
FL000242,2025-01-11,HEL,CDG,OH-A127,A321,2025-01-11 17:50:00,480,None,0,False,207
FL000243,2025-01-11,HEL,AMS,OH-A144,A350,2025-01-11 15:09:00,149,None,0,False,251
FL000244,2025-01-11,HEL,LHR,OH-A145,A350,2025-01-11 11:40:00,532,ATC,19,True,246
FL000245,2025-01-11,HEL,ARN,OH-A101,A320,2025-01-11 16:34:00,583,None,0,False,121
FL000246,2025-01-11,HEL,MUC,OH-A135,A321,2025-01-11 19:29:00,131,None,0,False,157
FL000247,2025-01-11,HEL,AMS,OH-A100,A350,2025-01-11 18:22:00,371,None,0,False,296
FL000248,2025-01-11,HEL,CDG,OH-A117,A321,2025-01-11 14:36:00,534,None,0,False,155
FL000249,2025-01-11,HEL,LHR,OH-A137,A320,2025-01-11 13:26:00,131,None,0,False,101
FL000250,2025-01-11,HEL,BKK,OH-A146,A320,2025-01-11 19:32:00,500,None,0,False,171
FL000251,2025-01-11,HEL,BCN,OH-A142,A350,2025-01-11 11:21:00,378,None,0,False,231
FL000252,2025-01-11,HEL,AMS,OH-A123,E190,2025-01-11 14:35:00,185,Late Aircraft,10,False,98
FL000253,2025-01-11,HEL,OSL,OH-A117,A321,2025-01-11 12:05:00,118,None,0,False,135
FL000254,2025-01-11,HEL,JFK,OH-A140,A320,2025-01-11 09:50:00,84,None,0,False,100
FL000255,2025-01-12,HEL,BKK,OH-A146,A320,2025-01-12 20:50:00,345,None,0,False,112
FL000256,2025-01-12,HEL,MUC,OH-A123,E190,2025-01-12 08:09:00,242,Ground Handling,41,False,59
FL000257,2025-01-12,HEL,MUC,OH-A119,A350,2025-01-12 09:10:00,605,None,0,False,173
FL000258,2025-01-12,HEL,FRA,OH-A142,A350,2025-01-12 11:07:00,409,None,0,False,220
FL000259,2025-01-12,HEL,FRA,OH-A109,A320,2025-01-12 11:16:00,352,Ground Handling,43,False,174
FL000260,2025-01-12,HEL,MAD,OH-A126,A320,2025-01-12 13:52:00,218,None,0,False,167
FL000261,2025-01-12,HEL,BCN,OH-A136,A321,2025-01-12 20:29:00,526,None,0,False,125
