event_id,flight_id,event_type,severity,reported_at,resolved_hours
EV200035,FL003428,Crew Issue,High,2025-06-12 06:08:00,6.6
EV200036,FL004300,Gate Change,High,2025-09-20 20:53:00,4.2
EV200037,FL004918,Delay,Low,2025-01-16 07:50:00,1.7
EV200038,FL007257,Delay,Low,2025-01-05 09:19:00,10.8
EV200039,FL001187,Delay,Medium,2025-08-12 14:32:00,4.9
EV200040,FL005012,Technical Defect,Low,2025-05-12 19:12:00,1.1
EV200041,FL002964,Delay,Medium,2025-01-30 18:56:00,2.2
EV200042,FL005672,Delay,Low,2025-10-09 15:14:00,6.7
EV200043,FL001606,Fuel Issue,Medium,2025-07-09 15:56:00,1.3
EV200044,FL000140,Technical Defect,High,2025-08-13 08:53:00,1.1
EV200045,FL004618,Delay,Medium,2025-05-12 11:54:00,3.7
EV200046,FL002499,Delay,High,2025-03-23 09:39:00,0.8
EV200047,FL007410,Technical Defect,Medium,2025-04-29 19:12:00,3.3
EV200048,FL006000,Delay,Medium,2025-11-26 11:49:00,2.2
EV200049,FL003802,Delay,Medium,2025-10-07 18:09:00,0.9
EV200050,FL003138,Fuel Issue,Medium,2025-11-09 13:54:00,4.9
EV200051,FL005513,Gate Change,Critical,2025-06-22 07:09:00,3.4
EV200052,FL003780,Fuel Issue,Low,2025-11-18 07:13:00,2.0
EV200053,FL005917,Crew Issue,Medium,2025-03-14 20:50:00,2.8
EV200054,FL006008,Delay,Medium,2025-08-31 10:22:00,1.6
EV200055,FL008138,Baggage Issue,Medium,2025-05-21 19:20:00,1.2
EV200056,FL002561,Delay,Medium,2025-03-13 09:04:00,7.0
EV200057,FL005158,Delay,Low,2025-05-21 17:58:00,2.8
EV200058,FL004060,Delay,Low,2025-09-01 06:19:00,3.3
EV200059,FL001520,Fuel Issue,Low,2025-07-12 13:37:00,2.6
EV200060,FL001895,Gate Change,Medium,2025-11-21 10:33:00,4.0
EV200061,FL000086,Crew Issue,Medium,2025-08-24 09:30:00,6.4
EV200062,FL002462,Baggage Issue,High,2025-07-21 18:38:00,2.9
EV200063,FL001142,Delay,Low,2025-04-23 10:59:00,4.6
EV200064,FL001516,Gate Change,Medium,2025-10-20 16:53:00,2.9
EV200065,FL001025,Delay,Low,2025-04-26 14:46:00,1.8
EV200066,FL000017,Delay,Critical,2025-02-23 07:21:00,3.8
EV200067,FL004296,Technical Defect,Medium,2025-10-17 21:04:00,8.1
EV200068,FL007646,Delay,High,2025-09-17 13:45:00,5.6
EV200069,FL003609,Baggage Issue,Medium,2025-03-09 05:30:00,0.8
EV200070,FL004155,Gate Change,Medium,2025-12-26 12:11:00,4.0
EV200071,FL005049,Baggage Issue,High,2025-08-26 16:23:00,1.2
EV200072,FL004773,Cleaning Issue,Low,2025-07-16 13:50:00,3.5
EV200073,FL000639,Technical Defect,High,2025-12-27 11:26:00,0.6
EV200074,FL003657,Gate Change,Medium,2025-09-25 21:10:00,3.3
EV200075,FL006739,Technical Defect,Critical,2025-10-12 08:10:00,1.4
EV200076,FL001777,Delay,Low,2025-07-27 07:19:00,3.0
EV200077,FL000895,Fuel Issue,Low,2025-04-09 19:16:00,2.1
EV200078,FL005286,Gate Change,Low,2025-01-26 11:49:00,2.4
EV200079,FL005615,Baggage Issue,Low,2025-01-13 14:01:00,8.3
EV200080,FL005950,Delay,Low,2025-04-01 17:19:00,3.5
EV200081,FL005692,Fuel Issue,Low,2025-04-17 07:20:00,2.5
EV200082,FL002438,Technical Defect,Low,2025-04-27 20:34:00,7.0
EV200083,FL004665,Delay,Low,2025-01-02 06:47:00,5.8
EV200084,FL006988,Delay,Medium,2025-04-23 09:57:00,1.5
EV200085,FL001437,Technical Defect,Medium,2025-08-02 16:38:00,7.9
EV200086,FL005688,Delay,Low,2025-07-08 15:31:00,0.7
EV200087,FL005035,Delay,Medium,2025-06-17 20:55:00,1.4
EV200088,FL002246,Delay,Medium,2025-11-22 06:31:00,3.7
EV200089,FL007597,Delay,Low,2025-08-07 18:58:00,3.9
EV200090,FL001358,Delay,Low,2025-07-30 18:02:00,7.6
EV200091,FL006614,Baggage Issue,Medium,2025-10-16 14:06:00,2.6
EV200092,FL004667,Gate Change,High,2025-11-27 10:22:00,7.8
EV200093,FL001068,Technical Defect,Low,2025-03-27 05:54:00,13.0
EV200094,FL003620,Cleaning Issue,Medium,2025-11-14 18:15:00,1.8
EV200095,FL002720,Delay,Low,2025-05-16 19:54:00,2.9
EV200096,FL003426,Baggage Issue,High,2025-11-26 10:22:00,1.4
EV200097,FL006488,Baggage Issue,Medium,2025-06-18 14:16:00,1.6
EV200098,FL005277,Gate Change,Medium,2025-09-10 19:23:00,3.1
EV200099,FL001617,Delay,Medium,2025-10-07 18:09:00,2.0
EV200100,FL006104,Technical Defect,High,2025-05-25 10:24:00,1.6
EV200101,FL005873,Technical Defect,Medium,2025-06-16 18:44:00,1.9
EV200102,FL000770,Delay,Medium,2025-05-07 12:34:00,1.7
EV200103,FL007544,Delay,Medium,2025-03-21 09:30:00,3.5
EV200104,FL000055,Technical Defect,Low,2025-12-26 05:19:00,1.0
EV200105,FL002336,Technical Defect,High,2025-11-23 16:18:00,5.1
EV200106,FL002384,Delay,Medium,2025-01-30 17:32:00,5.6
EV200107,FL000774,Delay,Low,2025-01-23 19:09:00,5.3
EV200108,FL005446,Gate Change,High,2025-10-20 16:53:00,1.9
EV200109,FL003781,Baggage Issue,Medium,2025-08-21 07:13:00,2.0
EV200110,FL006702,Crew Issue,Low,2025-09-23 15:40:00,3.7
EV200111,FL002574,Gate Change,Medium,2025-04-23 17:10:00,1.9
EV200112,FL007021,Delay,Critical,2025-08-03 16:41:00,3.3
EV200113,FL004181,Delay,High,2025-06-27 14:49:00,3.2
EV200114,FL000046,Crew Issue,Low,2025-01-12 09:45:00,2.9
EV200115,FL002487,Delay,High,2025-12-19 14:11:00,5.0
EV200116,FL002974,Baggage Issue,Medium,2025-12-19 05:33:00,3.3
EV200117,FL004139,Baggage Issue,Medium,2025-08-05 15:11:00,0.9
EV200118,FL005785,Technical Defect,Medium,2025-02-17 10:36:00,4.5
EV200119,FL001297,Delay,Low,2025-09-02 15:46:00,0.6
EV200120,FL006627,Delay,Low,2025-03-29 20:49:00,9.0
EV200121,FL001419,Crew Issue,Medium,2025-08-25 05:50:00,1.3
EV200122,FL008173,Delay,Low,2025-03-16 12:10:00,1.4
EV200123,FL003161,Delay,Medium,2025-09-19 17:47:00,8.2
EV200124,FL007701,Delay,High,2025-06-15 19:08:00,2.5
EV200125,FL000737,Crew Issue,High,2025-06-11 06:32:00,2.3
EV200126,FL001669,Cleaning Issue,Low,2025-12-28 07:14:00,2.1
EV200127,FL008083,Technical Defect,High,2025-01-07 12:36:00,2.6
EV200128,FL001377,Technical Defect,Medium,2025-11-28 18:39:00,7.7
EV200129,FL002651,Technical Defect,Low,2025-11-20 09:55:00,1.9
EV200130,FL004609,Technical Defect,Medium,2025-12-10 12:41:00,7.8
EV200131,FL001643,Delay,Low,2025-07-24 08:14:00,3.5
EV200132,FL002859,Cleaning Issue,Medium,2025-01-02 15:02:00,6.7
EV200133,FL005777,Cleaning Issue,Medium,2025-11-29 15:36:00,2.0
EV200134,FL003936,Baggage Issue,Medium,2025-09-03 12:40:00,6.1
EV200135,FL003459,Delay,High,2025-09-26 09:54:00,1.2
EV200136,FL005508,Technical Defect,High,2025-04-06 10:56:00,3.5
EV200137,FL007869,Delay,Medium,2025-10-02 16:41:00,1.2
EV200138,FL006918,Gate Change,Medium,2025-03-02 16:53:00,1.7
EV200139,FL000435,Technical Defect,Medium,2025-08-26 11:37:00,1.1
EV200140,FL005166,Technical Defect,Medium,2025-09-13 10:33:00,6.4
EV200141,FL003936,Cleaning Issue,Medium,2025-12-17 06:07:00,3.4
EV200142,FL003536,Cleaning Issue,Low,2025-11-17 05:04:00,5.2
EV200143,FL001927,Delay,Medium,2025-10-17 21:04:00,5.3
EV200144,FL002197,Baggage Issue,Medium,2025-09-17 20:04:00,1.0
EV200145,FL005776,Fuel Issue,High,2025-06-08 07:42:00,4.1
EV200146,FL008002,Cleaning Issue,Low,2025-08-12 11:52:00,9.9
EV200147,FL004482,Crew Issue,Medium,2025-04-11 18:17:00,2.6
EV200148,FL001712,Delay,High,2025-10-10 16:19:00,3.7
EV200149,FL001956,Baggage Issue,Medium,2025-05-25 21:12:00,6.7
EV200150,FL001558,Technical Defect,Low,2025-11-08 17:32:00,2.3
EV200151,FL004314,Delay,High,2025-03-09 19:02:00,5.6
EV200152,FL005820,Fuel Issue,Low,2025-02-06 21:12:00,4.5
EV200153,FL006396,Baggage Issue,Medium,2025-03-30 16:44:00,3.1
EV200154,FL005298,Cleaning Issue,Medium,2025-06-11 13:11:00,3.7
EV200155,FL008007,Delay,High,2025-03-02 10:56:00,1.2
EV200156,FL007340,Crew Issue,Medium,2025-07-17 17:49:00,11.5
EV200157,FL001863,Gate Change,High,2025-01-21 12:57:00,2.5
EV200158,FL007495,Delay,Medium,2025-10-17 18:30:00,3.8
EV200159,FL000447,Fuel Issue,Low,2025-05-24 20:21:00,0.9
EV200160,FL006116,Crew Issue,Low,2025-10-26 16:18:00,4.6
EV200161,FL004648,Gate Change,Low,2025-10-04 14:15:00,2.8
EV200162,FL000232,Cleaning Issue,Medium,2025-11-25 16:22:00,3.6
EV200163,FL002534,Crew Issue,Medium,2025-01-26 07:09:00,2.1
EV200164,FL007127,Technical Defect,Low,2025-07-11 09:16:00,4.6
EV200165,FL006119,Delay,High,2025-08-22 06:06:00,5.2
EV200166,FL004655,Gate Change,Low,2025-03-23 07:16:00,2.0
EV200167,FL006310,Technical Defect,Low,2025-12-24 12:04:00,1.3
EV200168,FL001603,Gate Change,Medium,2025-11-17 13:34:00,1.4
EV200169,FL001555,Delay,Medium,2025-06-15 12:39:00,6.9
EV200170,FL005076,Fuel Issue,Low,2025-12-16 14:23:00,1.8
EV200171,FL003674,Crew Issue,High,2025-04-13 19:53:00,6.2
EV200172,FL001868,Crew Issue,Low,2025-12-17 11:30:00,3.2
EV200173,FL000195,Crew Issue,Low,2025-08-15 14:20:00,2.3
EV200174,FL003613,Delay,Medium,2025-01-08 07:01:00,0.5
EV200175,FL005960,Technical Defect,Medium,2025-09-06 20:59:00,9.8
EV200176,FL003127,Crew Issue,Medium,2025-10-25 20:00:00,3.0
EV200177,FL004493,Baggage Issue,Low,2025-04-18 06:50:00,2.2
EV200178,FL001594,Technical Defect,Low,2025-08-22 18:53:00,3.2
EV200179,FL008042,Technical Defect,Medium,2025-05-26 14:20:00,3.6
EV200180,FL006645,Baggage Issue,Critical,2025-12-26 05:19:00,1.8
EV200181,FL002778,Delay,Medium,2025-12-09 13:11:00,2.4
EV200182,FL004005,Delay,Low,2025-07-26 06:50:00,1.1
EV200183,FL005396,Technical Defect,Critical,2025-07-11 15:15:00,1.8
EV200184,FL001197,Gate Change,Critical,2025-01-31 05:55:00,2.9
EV200185,FL004705,Delay,Low,2025-12-26 06:28:00,0.9
EV200186,FL001953,Baggage Issue,Low,2025-08-27 05:07:00,2.6
EV200187,FL004558,Cleaning Issue,Low,2025-07-04 06:40:00,2.4
EV200188,FL004092,Delay,Medium,2025-05-09 08:44:00,1.9
EV200189,FL003486,Technical Defect,Low,2025-03-02 06:13:00,5.6
EV200190,FL005230,Cleaning Issue,Medium,2025-03-24 13:04:00,1.2
EV200191,FL003064,Cleaning Issue,Low,2025-10-19 09:23:00,3.2
EV200192,FL006327,Technical Defect,Medium,2025-04-14 05:45:00,1.8
EV200193,FL001890,Crew Issue,Low,2025-11-09 21:11:00,3.3
EV200194,FL000377,Delay,Medium,2025-12-31 21:34:00,3.2
EV200195,FL005678,Crew Issue,Medium,2025-01-11 11:21:00,11.9
EV200196,FL004917,Cleaning Issue,Critical,2025-10-22 05:15:00,15.0
EV200197,FL005781,Delay,Low,2025-03-28 13:08:00,1.6
EV200198,FL003195,Delay,Medium,2025-07-03 08:17:00,2.8
EV200199,FL005479,Delay,Medium,2025-06-14 12:53:00,1.6
EV200200,FL000386,Technical Defect,Medium,2025-05-06 15:54:00,3.2
EV200201,FL008033,Delay,Medium,2025-12-01 18:36:00,1.7
EV200202,FL007261,Technical Defect,Low,2025-03-22 09:59:00,1.6
EV200203,FL002677,Technical Defect,Low,2025-11-19 20:39:00,2.1
EV200204,FL002495,Fuel Issue,Medium,2025-11-13 10:36:00,2.2
EV200205,FL001324,Fuel Issue,Medium,2025-08-26 12:31:00,0.3
EV200206,FL007948,Technical Defect,Medium,2025-09-23 14:01:00,2.3
EV200207,FL000486,Crew Issue,Low,2025-10-06 06:28:00,10.1
EV200208,FL006770,Gate Change,Low,2025-09-06 17:10:00,1.6
EV200209,FL001093,Crew Issue,Medium,2025-02-23 13:08:00,5.5
EV200210,FL007956,Baggage Issue,Medium,2025-05-16 12:30:00,4.2
EV200211,FL002177,Fuel Issue,Medium,2025-07-26 16:27:00,2.1
EV200212,FL003607,Delay,Low,2025-06-26 06:22:00,1.4
EV200213,FL000492,Crew Issue,Medium,2025-10-12 17:22:00,1.1
EV200214,FL002417,Delay,Medium,2025-12-12 07:23:00,1.4
EV200215,FL007753,Baggage Issue,Medium,2025-03-29 12:02:00,0.9
EV200216,FL004852,Cleaning Issue,Low,2025-10-24 14:50:00,0.5
EV200217,FL002671,Gate Change,Low,2025-02-16 18:02:00,1.3
EV200218,FL007316,Fuel Issue,Low,2025-12-19 10:58:00,5.9
EV200219,FL007646,Crew Issue,Medium,2025-08-07 08:47:00,4.5
EV200220,FL003373,Baggage Issue,Low,2025-12-16 14:39:00,1.9
EV200221,FL003090,Delay,Low,2025-12-01 07:42:00,6.4
EV200222,FL006859,Delay,High,2025-01-08 10:25:00,1.4
EV200223,FL004436,Cleaning Issue,High,2025-12-21 14:26:00,0.7
EV200224,FL002343,Baggage Issue,High,2025-12-25 09:17:00,9.4
EV200225,FL004885,Gate Change,Medium,2025-06-05 18:16:00,3.4
EV200226,FL002985,Delay,Low,2025-06-14 16:27:00,4.2
EV200227,FL003275,Delay,Low,2025-06-20 12:15:00,1.5
EV200228,FL005443,Baggage Issue,Low,2025-07-19 19:09:00,1.7
EV200229,FL002937,Delay,Low,2025-08-16 15:51:00,1.9
EV200230,FL004326,Technical Defect,High,2025-01-30 05:12:00,4.5
EV200231,FL005447,Fuel Issue,High,2025-01-14 08:32:00,1.1
EV200232,FL007467,Delay,Medium,2025-01-23 19:09:00,1.3
EV200233,FL007402,Technical Defect,Low,2025-07-17 07:44:00,4.9
EV200234,FL007281,Delay,Medium,2025-07-22 17:20:00,14.2
EV200235,FL006143,Technical Defect,Medium,2025-08-17 08:04:00,2.4
EV200236,FL003757,Baggage Issue,Medium,2025-04-03 21:45:00,1.1
EV200237,FL003621,Delay,High,2025-02-16 19:01:00,1.0
EV200238,FL000555,Gate Change,Low,2025-04-12 15:02:00,3.1
EV200239,FL006451,Gate Change,Low,2025-10-30 07:54:00,7.2
EV200240,FL007668,Crew Issue,Low,2025-06-13 09:46:00,5.5
EV200241,FL005198,Technical Defect,Low,2025-07-14 08:08:00,3.7
EV200242,FL007651,Fuel Issue,Medium,2025-02-10 07:20:00,0.9
EV200243,FL004200,Technical Defect,High,2025-11-13 19:05:00,3.1
EV200244,FL000935,Delay,Low,2025-03-07 20:50:00,0.7
EV200245,FL007269,Delay,Medium,2025-07-21 21:01:00,8.0
EV200246,FL003348,Cleaning Issue,Low,2025-12-29 13:16:00,1.6
EV200247,FL004146,Delay,High,2025-04-24 13:58:00,2.1
EV200248,FL005031,Crew Issue,Medium,2025-06-20 20:21:00,6.5
EV200249,FL003608,Cleaning Issue,Low,2025-05-17 10:35:00,2.0
EV200250,FL003600,Fuel Issue,Low,2025-04-18 05:07:00,8.3
EV200251,FL005480,Technical Defect,Medium,2025-12-14 13:09:00,0.1
EV200252,FL002629,Delay,Medium,2025-09-24 07:03:00,1.4
EV200253,FL003562,Delay,Low,2025-06-14 21:58:00,4.6
EV200254,FL001224,Technical Defect,Low,2025-08-08 10:09:00,5.2
EV200255,FL002357,Technical Defect,Low,2025-07-04 19:21:00,1.5
EV200256,FL005933,Technical Defect,Medium,2025-12-12 10:28:00,0.8
EV200257,FL004231,Gate Change,Low,2025-10-04 20:43:00,3.8
EV200258,FL003010,Crew Issue,Medium,2025-04-27 19:34:00,2.5
EV200259,FL007705,Delay,Low,2025-10-25 20:06:00,0.2
EV200260,FL001648,Delay,Medium,2025-05-31 14:28:00,0.9
EV200261,FL004122,Crew Issue,Medium,2025-12-01 20:28:00,4.7
EV200262,FL000553,Fuel Issue,High,2025-01-08 14:25:00,3.7
EV200263,FL008131,Fuel Issue,Medium,2025-09-10 17:44:00,1.7
EV200264,FL006900,Cleaning Issue,High,2025-08-19 19:53:00,0.8
EV200265,FL006737,Crew Issue,High,2025-04-20 20:39:00,4.3
EV200266,FL002213,Cleaning Issue,Medium,2025-08-13 18:53:00,6.0
EV200267,FL003987,Cleaning Issue,Medium,2025-02-25 06:51:00,3.8
EV200268,FL003719,Baggage Issue,Low,2025-03-01 14:50:00,1.1
EV200269,FL002773,Baggage Issue,High,2025-06-17 07:48:00,1.7
EV200270,FL000191,Delay,High,2025-11-04 14:01:00,10.2
EV200271,FL005303,Fuel Issue,Low,2025-02-05 21:46:00,2.9
EV200272,FL000155,Baggage Issue,Low,2025-04-04 19:08:00,11.2
EV200273,FL007843,Fuel Issue,Medium,2025-11-29 11:12:00,1.7
EV200274,FL001198,Delay,Low,2025-06-10 06:20:00,2.5
EV200275,FL003401,Technical Defect,High,2025-12-24 12:04:00,0.7
EV200276,FL002478,Delay,High,2025-03-19 20:41:00,1.0
EV200277,FL001755,Cleaning Issue,Low,2025-07-09 07:00:00,0.7
EV200278,FL008089,Crew Issue,Medium,2025-05-11 12:16:00,1.1
EV200279,FL001076,Crew Issue,High,2025-01-14 19:25:00,4.3
EV200280,FL006595,Technical Defect,Medium,2025-11-22 12:40:00,9.9
EV200281,FL004246,Delay,Low,2025-04-20 19:12:00,2.9
EV200282,FL005567,Cleaning Issue,High,2025-01-27 06:26:00,0.4
EV200283,FL003649,Technical Defect,Low,2025-05-22 09:03:00,2.4
EV200284,FL000059,Delay,Medium,2025-07-12 07:48:00,2.1
EV200285,FL004224,Fuel Issue,Critical,2025-05-23 18:39:00,4.9
EV200286,FL000219,Delay,High,2025-04-25 06:23:00,0.9
EV200287,FL003994,Delay,Medium,2025-09-13 08:29:00,2.4
EV200288,FL004749,Technical Defect,Low,2025-09-13 08:30:00,6.8
EV200289,FL004717,Technical Defect,Low,2025-12-24 19:54:00,10.3
EV200290,FL005826,Fuel Issue,Low,2025-02-18 16:14:00,3.2
EV200291,FL002579,Cleaning Issue,Medium,2025-01-09 11:37:00,4.0
EV200292,FL008093,Delay,Medium,2025-11-09 11:47:00,4.1
EV200293,FL003907,Delay,Medium,2025-12-18 20:52:00,1.7
EV200294,FL005692,Technical Defect,Medium,2025-08-28 08:40:00,4.8
EV200295,FL003511,Technical Defect,Low,2025-11-30 18:29:00,1.5
EV200296,FL002998,Fuel Issue,Medium,2025-08-09 15:34:00,2.9
EV200297,FL004328,Delay,Critical,2025-11-08 06:15:00,0.3
EV200298,FL006854,Delay,High,2025-06-25 19:29:00,0.9
EV200299,FL003694,Delay,Medium,2025-06-09 21:01:00,2.0
EV200300,FL000550,Delay,High,2025-07-23 19:45:00,2.3
EV200301,FL005340,Delay,Medium,2025-05-23 13:49:00,1.6
EV200302,FL002864,Technical Defect,Medium,2025-05-20 18:59:00,2.4
EV200303,FL005836,Fuel Issue,Medium,2025-06-24 13:34:00,0.5
EV200304,FL006841,Fuel Issue,Low,2025-08-21 05:31:00,0.4
EV200305,FL003289,Delay,Critical,2025-08-26 18:53:00,5.1
EV200306,FL007622,Delay,Medium,2025-01-07 16:35:00,5.2
EV200307,FL006012,Gate Change,Low,2025-04-08 11:18:00,1.4
EV200308,FL005523,Delay,Low,2025-04-06 15:16:00,2.8
EV200309,FL007495,Technical Defect,Medium,2025-05-26 16:17:00,1.7
EV200310,FL007222,Baggage Issue,Medium,2025-08-21 21:04:00,1.9
EV200311,FL006313,Fuel Issue,Medium,2025-12-16 10:50:00,2.6
EV200312,FL008117,Delay,Medium,2025-09-19 13:09:00,2.1
EV200313,FL006367,Delay,Medium,2025-01-27 16:01:00,5.6
EV200314,FL007014,Delay,Medium,2025-09-05 10:35:00,3.9
EV200315,FL006021,Gate Change,Low,2025-03-17 21:26:00,2.0
EV200316,FL003770,Delay,Low,2025-09-16 15:53:00,3.2
EV200317,FL003233,Delay,Low,2025-01-15 12:28:00,4.8
EV200318,FL006625,Delay,Medium,2025-05-09 17:32:00,1.5
EV200319,FL007844,Delay,Low,2025-08-04 10:50:00,6.3
EV200320,FL004791,Cleaning Issue,High,2025-03-19 20:05:00,1.8
EV200321,FL001578,Fuel Issue,Low,2025-07-08 16:23:00,9.1
EV200322,FL006655,Gate Change,Medium,2025-06-07 21:27:00,3.3
EV200323,FL002409,Fuel Issue,Low,2025-01-24 09:22:00,0.6
EV200324,FL006029,Delay,Low,2025-05-14 18:26:00,1.1
EV200325,FL001705,Fuel Issue,Low,2025-06-18 19:14:00,0.9
EV200326,FL007053,Baggage Issue,Medium,2025-07-26 11:20:00,3.9
EV200327,FL003979,Delay,Low,2025-03-14 11:10:00,1.4
EV200328,FL003050,Baggage Issue,Low,2025-10-24 16:26:00,3.3
EV200329,FL006142,Technical Defect,Low,2025-08-24 20:22:00,3.7
EV200330,FL005804,Technical Defect,Medium,2025-10-08 11:24:00,2.4
EV200331,FL002123,Cleaning Issue,Medium,2025-10-22 18:00:00,7.2
EV200332,FL000552,Technical Defect,High,2025-10-05 16:23:00,3.5
EV200333,FL007891,Cleaning Issue,Low,2025-02-10 17:51:00,0.4
EV200334,FL007974,Fuel Issue,Low,2025-05-19 08:46:00,3.5
EV200335,FL005429,Technical Defect,Medium,2025-10-03 12:27:00,2.3
EV200336,FL000907,Crew Issue,Medium,2025-05-21 08:20:00,6.2
EV200337,FL007689,Delay,Low,2025-06-10 21:25:00,4.2
EV200338,FL003795,Technical Defect,Low,2025-05-28 05:14:00,2.0
EV200339,FL004978,Delay,Low,2025-07-06 21:45:00,1.5
EV200340,FL005547,Delay,High,2025-01-11 09:50:00,5.8
EV200341,FL004824,Technical Defect,High,2025-06-13 16:07:00,3.3
EV200342,FL001894,Delay,Critical,2025-08-20 17:48:00,8.4
EV200343,FL007925,Fuel Issue,Low,2025-09-18 10:31:00,2.7
EV200344,FL004349,Fuel Issue,Medium,2025-08-07 20:19:00,6.9
EV200345,FL007768,Delay,Medium,2025-09-17 12:42:00,2.8
EV200346,FL001102,Delay,Medium,2025-01-24 09:22:00,1.8
EV200347,FL005699,Cleaning Issue,Low,2025-08-02 18:55:00,3.1
EV200348,FL001487,Delay,Low,2025-08-29 13:17:00,9.8
EV200349,FL000942,Cleaning Issue,Low,2025-03-26 13:25:00,2.2
EV200350,FL007216,Gate Change,Medium,2025-05-24 11:39:00,1.2
EV200351,FL000971,Gate Change,Critical,2025-05-19 18:30:00,2.9
EV200352,FL000333,Delay,Low,2025-01-18 15:25:00,7.3
EV200353,FL000278,Technical Defect,Medium,2025-10-24 15:45:00,1.8
EV200354,FL003010,Fuel Issue,Low,2025-07-30 19:11:00,16.3
EV200355,FL001212,Delay,Low,2025-04-26 19:34:00,0.3
EV200356,FL000608,Cleaning Issue,Medium,2025-12-15 16:46:00,3.7
EV200357,FL004496,Technical Defect,Low,2025-12-01 20:02:00,2.7
EV200358,FL001708,Fuel Issue,Medium,2025-01-25 19:50:00,1.5
EV200359,FL003660,Crew Issue,Low,2025-04-17 11:14:00,8.8
EV200360,FL000823,Technical Defect,Low,2025-12-10 20:34:00,3.5
EV200361,FL005700,Fuel Issue,Medium,2025-07-19 14:47:00,7.7
EV200362,FL003442,Fuel Issue,Medium,2025-05-28 16:55:00,1.2
EV200363,FL007329,Cleaning Issue,High,2025-08-11 05:41:00,2.6
EV200364,FL006633,Delay,Medium,2025-10-11 13:29:00,0.8
EV200365,FL003093,Crew Issue,Low,2025-03-04 18:28:00,7.5
EV200366,FL002729,Baggage Issue,High,2025-03-28 09:38:00,1.5
EV200367,FL007141,Baggage Issue,Medium,2025-06-28 13:42:00,1.0
EV200368,FL002996,Cleaning Issue,Low,2025-03-12 16:52:00,6.3
EV200369,FL007362,Delay,High,2025-04-07 13:09:00,7.9
EV200370,FL000800,Crew Issue,Medium,2025-02-20 21:31:00,2.5
EV200371,FL005570,Technical Defect,Critical,2025-03-30 08:56:00,6.6
EV200372,FL003664,Gate Change,Medium,2025-08-06 07:57:00,3.5
EV200373,FL006863,Delay,Medium,2025-06-27 10:51:00,3.9
EV200374,FL000718,Delay,Medium,2025-08-03 11:40:00,1.0
EV200375,FL007606,Gate Change,Medium,2025-04-20 20:39:00,1.2
EV200376,FL008203,Technical Defect,Low,2025-10-01 12:24:00,5.3
EV200377,FL003753,Delay,Medium,2025-08-04 10:50:00,2.0
EV200378,FL005391,Delay,Low,2025-01-09 21:35:00,0.4
EV200379,FL004133,Delay,Low,2025-09-15 17:20:00,3.7
EV200380,FL005015,Gate Change,High,2025-08-28 10:54:00,2.6
