work_order_id,aircraft_id,opened_date,maintenance_type,priority,status,technician_hours,parts_cost_eur,downtime_hours
WO100121,OH-A108,2025-07-06,Cabin,High,Closed,2.4,55.47,9.1
WO100122,OH-A116,2025-11-25,Inspection,High,Open,4.5,175.55,2.3
WO100123,OH-A130,2025-01-02,Cabin,Low,Closed,8.7,1560.4,13.8
WO100124,OH-A124,2025-02-15,Scheduled,Low,Closed,0.9,511.61,2.5
WO100125,OH-A128,2025-11-04,Scheduled,High,Closed,5.0,1953.1,4.0
WO100126,OH-A138,2025-01-21,Scheduled,Low,Closed,2.7,345.24,14.6
WO100127,OH-A145,2025-11-24,Scheduled,Low,Closed,10.1,173.81,7.4
WO100128,OH-A121,2025-12-25,Scheduled,High,Closed,4.9,75.46,17.6
WO100129,OH-A136,2025-04-06,Cabin,High,Closed,7.6,176.06,15.7
WO100130,OH-A123,2025-11-18,Unscheduled,Medium,Closed,5.9,216.99,3.3
WO100131,OH-A106,2025-07-19,Cabin,Medium,Open,9.4,35.69,6.6
WO100132,OH-A128,2025-07-07,Engine,Medium,Closed,4.7,173.98,5.6
WO100133,OH-A145,2025-12-03,Component Replacement,Low,Closed,4.1,172.46,6.0
WO100134,OH-A120,2025-10-12,Cabin,Critical,In Progress,2.7,412.3,5.4
WO100135,OH-A125,2025-11-21,Scheduled,Medium,Closed,7.0,386.78,3.9
WO100136,OH-A134,2025-11-18,Engine,Medium,Closed,8.8,555.59,16.6
WO100137,OH-A139,2025-09-23,Inspection,Medium,Closed,3.2,79.62,4.2
WO100138,OH-A100,2025-06-20,Inspection,Medium,Closed,5.7,129.67,7.2
WO100139,OH-A102,2025-03-09,Inspection,Low,Closed,13.3,1018.35,4.0
WO100140,OH-A123,2025-02-05,Cabin,Medium,Open,5.0,311.36,9.4
WO100141,OH-A105,2025-04-03,Cabin,Medium,Closed,3.0,940.99,7.0
WO100142,OH-A144,2025-06-25,Scheduled,High,Open,4.9,350.3,5.8
WO100143,OH-A133,2025-02-20,Scheduled,High,Closed,4.7,486.47,16.5
WO100144,OH-A129,2025-05-09,Scheduled,Low,Closed,9.2,684.5,7.7
WO100145,OH-A128,2025-10-18,Engine,Medium,Closed,6.5,231.25,8.2
WO100146,OH-A123,2025-01-09,Scheduled,Medium,Closed,1.8,207.03,2.3
WO100147,OH-A102,2025-04-23,Inspection,Medium,Closed,10.6,204.39,9.1
WO100148,OH-A137,2025-12-17,Unscheduled,High,Closed,3.6,373.17,13.4
WO100149,OH-A122,2025-04-29,Cabin,High,Closed,2.8,716.37,4.8
WO100150,OH-A118,2025-09-19,Engine,Medium,Closed,5.9,268.64,7.0
WO100151,OH-A120,2025-08-11,Unscheduled,Medium,Closed,4.1,1280.59,18.5
WO100152,OH-A122,2025-10-14,Unscheduled,Low,Closed,9.7,2320.71,5.7
WO100153,OH-A145,2025-09-24,Engine,Low,Closed,6.8,167.59,12.1
WO100154,OH-A109,2025-08-06,Scheduled,Low,Closed,4.9,1324.03,7.3
WO100155,OH-A108,2025-12-21,Inspection,Medium,Closed,3.6,396.27,16.7
WO100156,OH-A105,2025-04-09,Cabin,Medium,Closed,13.7,590.37,10.2
WO100157,OH-A129,2025-04-13,Inspection,Medium,Closed,11.8,352.86,5.2
WO100158,OH-A101,2025-08-02,Cabin,Medium,Closed,5.7,1365.29,3.1
WO100159,OH-A138,2025-09-18,Unscheduled,Low,Closed,1.6,570.99,20.9
WO100160,OH-A135,2025-09-06,Inspection,Medium,Closed,4.9,284.95,11.4
WO100161,OH-A134,2025-12-16,Cabin,Low,Closed,9.1,265.76,10.0
WO100162,OH-A122,2025-08-07,Component Replacement,Medium,Closed,3.3,121.36,6.3
WO100163,OH-A119,2025-10-06,Cabin,Medium,Closed,14.3,227.78,2.7
WO100164,OH-A145,2025-02-16,Engine,Low,Closed,13.2,1366.93,10.5
WO100165,OH-A139,2025-01-14,Scheduled,Medium,Closed,4.2,1191.54,10.2
WO100166,OH-A108,2025-10-24,Scheduled,High,Closed,3.5,212.71,12.0
WO100167,OH-A112,2025-06-13,Component Replacement,Low,Closed,9.9,134.56,17.6
WO100168,OH-A111,2025-04-19,Cabin,High,Open,7.9,1045.0,9.6
WO100169,OH-A122,2025-10-01,Engine,Low,Closed,5.1,619.64,2.4
WO100170,OH-A130,2025-05-25,Unscheduled,High,Closed,10.3,55.92,12.6
WO100171,OH-A110,2025-01-11,Inspection,Low,Closed,2.6,7184.83,21.4
WO100172,OH-A102,2025-07-21,Inspection,Critical,Closed,5.5,408.16,8.0
WO100173,OH-A118,2025-02-15,Unscheduled,Low,Closed,11.9,2212.03,7.7
WO100174,OH-A124,2025-12-23,Inspection,Critical,Closed,8.7,480.2,7.2
WO100175,OH-A132,2025-04-30,Cabin,Low,Closed,9.9,142.49,8.8
WO100176,OH-A105,2025-04-25,Inspection,Medium,Open,21.0,489.82,10.5
WO100177,OH-A133,2025-11-04,Scheduled,Medium,Closed,7.4,92.99,12.0
WO100178,OH-A107,2025-01-16,Unscheduled,Low,Closed,7.5,355.7,5.6
WO100179,OH-A114,2025-09-05,Scheduled,Low,Closed,2.8,135.91,5.9
WO100180,OH-A124,2025-12-21,Inspection,Low,Closed,4.8,328.84,0.8
WO100181,OH-A105,2025-01-11,Cabin,Medium,Closed,8.5,516.98,2.4
WO100182,OH-A127,2025-12-16,Inspection,Medium,Closed,8.2,542.14,6.7
WO100183,OH-A101,2025-08-14,Engine,Medium,Closed,10.2,93.71,10.6
WO100184,OH-A110,2025-03-14,Component Replacement,Medium,Closed,6.3,211.7,6.4
WO100185,OH-A127,2025-11-08,Unscheduled,Low,Closed,6.2,55.97,13.3
WO100186,OH-A113,2025-10-30,Inspection,Medium,Closed,5.6,750.59,5.3
WO100187,OH-A120,2025-12-25,Inspection,High,Closed,1.7,494.14,5.6
WO100188,OH-A113,2025-12-02,Unscheduled,Low,Closed,2.9,124.6,15.8
WO100189,OH-A124,2025-08-11,Scheduled,High,Closed,5.4,1645.66,10.4
WO100190,OH-A106,2025-01-05,Component Replacement,Low,Closed,11.0,643.27,14.5
WO100191,OH-A107,2025-09-30,Scheduled,Medium,Closed,6.5,363.13,10.7
WO100192,OH-A146,2025-10-03,Scheduled,High,Closed,5.7,251.31,9.1
WO100193,OH-A115,2025-10-10,Unscheduled,Medium,Closed,5.9,213.25,10.5
WO100194,OH-A133,2025-03-07,Cabin,Medium,Closed,5.3,183.24,3.7
WO100195,OH-A100,2025-09-25,Unscheduled,Medium,Open,5.3,1305.0,1.6
WO100196,OH-A105,2025-10-29,Component Replacement,Medium,In Progress,3.8,530.84,3.4
WO100197,OH-A137,2025-01-28,Unscheduled,Medium,Closed,6.9,141.32,2.4
WO100198,OH-A117,2025-01-08,Scheduled,Critical,Closed,11.1,1475.67,10.2
WO100199,OH-A114,2025-01-31,Scheduled,High,Closed,6.2,368.56,16.0
WO100200,OH-A108,2025-09-10,Scheduled,Low,Closed,7.3,160.93,3.6
WO100201,OH-A112,2025-04-20,Unscheduled,Medium,Closed,6.5,2908.72,9.9
WO100202,OH-A111,2025-10-26,Unscheduled,Medium,Open,8.2,134.96,19.6
WO100203,OH-A138,2025-12-16,Inspection,Medium,Closed,5.5,176.75,14.0
WO100204,OH-A145,2025-01-14,Scheduled,Low,In Progress,1.7,403.51,10.9
WO100205,OH-A101,2025-09-27,Scheduled,High,Closed,3.6,556.81,8.5
WO100206,OH-A106,2025-10-04,Scheduled,Medium,Closed,5.8,190.02,10.4
WO100207,OH-A130,2025-01-28,Engine,Low,Closed,14.8,44.22,9.3
WO100208,OH-A142,2025-02-13,Unscheduled,Low,Closed,3.8,416.75,7.7
WO100209,OH-A115,2025-10-22,Inspection,Medium,Closed,4.4,141.74,4.1
WO100210,OH-A140,2025-01-29,Component Replacement,High,Open,4.2,,5.5
WO100211,OH-A100,2025-03-14,Scheduled,Medium,Closed,1.9,179.43,9.9
WO100212,OH-A135,2025-12-03,Scheduled,Low,Closed,5.8,136.51,15.2
WO100213,OH-A145,2025-09-23,Inspection,Low,Closed,1.5,309.06,3.7
WO100214,OH-A123,2025-12-03,Cabin,Medium,Closed,7.0,214.41,25.3
WO100215,OH-A128,2025-04-11,Cabin,Medium,Closed,8.3,174.15,2.2
WO100216,OH-A112,2025-09-28,Unscheduled,Low,Closed,1.3,1059.57,4.5
WO100217,OH-A137,2025-08-11,Scheduled,High,Closed,21.0,149.17,10.2
WO100218,OH-A139,2025-11-21,Unscheduled,Low,Closed,2.3,313.41,12.6
WO100219,OH-A139,2025-03-24,Scheduled,High,Closed,3.2,388.59,5.6
WO100220,OH-A140,2025-01-07,Cabin,High,Closed,17.1,74.39,8.7
WO100221,OH-A103,2025-05-26,Scheduled,Low,Closed,2.2,131.93,7.7
WO100222,OH-A125,2025-07-06,Scheduled,High,Closed,6.3,387.78,6.8
WO100223,OH-A124,2025-07-29,Scheduled,Medium,Closed,7.5,373.53,4.5
WO100224,OH-A102,2025-11-15,Engine,High,Closed,5.0,183.43,10.1
WO100225,OH-A138,2025-09-08,Unscheduled,Medium,Closed,5.0,393.06,10.4
WO100226,OH-A109,2025-11-22,Scheduled,High,Closed,7.5,527.26,8.5
WO100227,OH-A120,2025-09-24,Unscheduled,Medium,Closed,11.5,725.48,13.3
WO100228,OH-A102,2025-05-14,Scheduled,Low,Closed,6.3,785.59,10.0
WO100229,OH-A137,2025-10-26,Scheduled,Critical,Closed,15.4,1351.64,5.1
WO100230,OH-A108,2025-04-29,Cabin,High,Closed,2.2,449.28,19.7
WO100231,OH-A124,2025-10-24,Inspection,Low,Closed,15.2,100.59,11.7
WO100232,OH-A124,2025-09-13,Inspection,Medium,Closed,4.7,300.14,6.9
WO100233,OH-A104,2025-03-22,Unscheduled,Critical,Closed,15.1,113.4,6.3
WO100234,OH-A141,2025-01-22,Unscheduled,Medium,Closed,8.6,939.21,6.2
WO100235,OH-A100,2025-11-20,Component Replacement,Medium,Open,3.2,1592.59,3.9
WO100236,OH-A131,2025-10-12,Scheduled,Low,Closed,-2.0,400.97,5.4
WO100237,OH-A108,2025-01-19,Inspection,Medium,Closed,1.6,1289.91,9.3
WO100238,OH-A128,2025-04-02,Inspection,Medium,Closed,3.9,1204.72,11.9
WO100239,OH-A110,2025-06-26,Unscheduled,Medium,Closed,5.1,546.58,18.3
WO100240,OH-A135,2025-07-10,Scheduled,Medium,Closed,5.9,683.12,7.0
WO100241,OH-A127,2025-05-18,Engine,Medium,Closed,11.7,1041.81,9.9
WO100242,OH-A130,2025-03-12,Cabin,Low,In Progress,4.3,99.88,9.7
WO100243,OH-A147,2025-09-01,Scheduled,High,Closed,3.5,516.88,5.4
WO100244,OH-A121,2025-09-26,Scheduled,Low,Closed,3.4,702.11,11.2
WO100245,OH-A136,2025-08-22,Inspection,Medium,Closed,6.8,96.11,3.1
WO100246,OH-A139,2025-12-16,Component Replacement,High,Closed,9.3,2730.45,8.0
WO100247,OH-A115,2025-05-24,Unscheduled,High,Closed,4.0,1202.93,7.0
WO100248,OH-A114,2025-07-17,Cabin,Low,Closed,6.8,1212.83,5.6
WO100249,OH-A133,2025-04-26,Engine,High,Closed,0.6,607.22,10.4
WO100250,OH-A144,2025-12-14,Scheduled,Low,Closed,4.5,156.24,18.4
WO100251,OH-A100,2025-06-02,Scheduled,Low,Closed,1.8,113.47,14.3
WO100252,OH-A105,2025-05-27,Scheduled,High,Closed,14.3,365.32,9.6
WO100253,OH-A108,2025-09-29,Engine,Low,Open,14.6,809.83,13.7
WO100254,OH-A130,2025-04-15,Inspection,Medium,Closed,6.7,694.01,21.6
WO100255,OH-A120,2025-05-13,Cabin,High,Closed,2.1,2231.05,5.1
WO100256,OH-A124,2025-11-03,Component Replacement,Low,Closed,2.4,295.68,7.9
WO100257,OH-A115,2025-01-08,Component Replacement,High,Closed,6.5,281.46,11.1
WO100258,OH-A120,2025-01-14,Scheduled,Medium,Closed,6.3,406.58,11.6
WO100259,OH-A137,2025-11-13,Scheduled,Medium,Closed,1.7,126.95,7.1
WO100260,OH-A120,2025-04-13,Cabin,Medium,Closed,4.2,1811.45,9.7
WO100261,OH-A118,2025-10-12,Unscheduled,Medium,Closed,5.6,314.18,7.3
WO100262,OH-A102,2025-09-10,Cabin,High,Closed,11.9,519.69,8.3
WO100263,OH-A118,2025-03-14,Unscheduled,High,Closed,7.8,910.79,2.4
WO100264,OH-A136,2025-03-10,Inspection,Medium,Closed,4.5,190.06,18.3
WO100265,OH-A106,2025-12-26,Inspection,Medium,Closed,12.5,532.39,2.0
WO100266,OH-A116,2025-11-22,Scheduled,Medium,Closed,13.9,400.35,6.0
WO100267,OH-A113,2025-04-04,Unscheduled,Medium,Closed,9.1,1069.97,11.9
WO100268,OH-A122,2025-06-25,Cabin,Low,Open,2.0,406.84,15.4
WO100269,OH-A139,2025-11-11,Unscheduled,Medium,Closed,5.2,23.18,7.2
WO100270,OH-A140,2025-03-31,Unscheduled,Medium,Closed,4.3,158.47,12.8
WO100271,OH-A118,2025-08-30,Component Replacement,Medium,Closed,3.9,90.04,8.0
WO100272,OH-A127,2025-05-16,Component Replacement,Low,Closed,12.8,2771.65,10.3
WO100273,OH-A139,2025-11-18,Engine,Medium,Closed,13.5,1660.01,6.2
WO100274,OH-A140,2025-04-14,Unscheduled,Critical,Closed,4.4,46.98,12.0
WO100275,OH-A128,2025-06-08,Unscheduled,Low,In Progress,5.0,146.86,3.6
WO100276,OH-A106,2025-09-13,Unscheduled,Medium,Closed,2.4,100.99,24.8
WO100277,OH-A118,2025-09-03,Cabin,Low,Closed,12.0,500.92,5.4
WO100278,OH-A113,2025-02-10,Cabin,Medium,Open,10.4,155.11,3.9
WO100279,OH-A132,2025-02-01,Inspection,Low,Closed,3.7,309.36,8.4
WO100280,OH-A110,2025-11-08,Scheduled,High,Closed,4.0,101.78,6.8
WO100281,OH-A101,2025-10-06,Cabin,Medium,Closed,7.5,620.37,18.2
WO100282,OH-A142,2025-02-24,Scheduled,Critical,Closed,7.4,75.24,22.4
WO100283,OH-A105,2025-08-25,Scheduled,Low,Closed,5.9,4929.96,5.6
WO100284,OH-A137,2025-04-14,Unscheduled,High,Closed,9.9,1815.91,11.0
WO100285,OH-A145,2025-05-29,Inspection,Low,Closed,8.1,4825.53,10.3
WO100286,OH-A140,2025-08-17,Scheduled,Low,Closed,6.9,739.81,10.8
WO100287,OH-A123,2025-08-21,Unscheduled,High,Closed,4.3,1914.08,4.5
WO100288,OH-A127,2025-05-10,Component Replacement,Medium,Closed,8.3,985.14,4.4
WO100289,OH-A134,2025-10-31,Inspection,Medium,Closed,6.9,147.75,8.9
WO100290,OH-A110,2025-07-06,Scheduled,Medium,In Progress,4.5,278.03,10.5
WO100291,OH-A120,2025-10-24,Scheduled,Medium,In Progress,4.7,616.49,3.3
WO100292,OH-A118,2025-07-27,Component Replacement,Low,Closed,3.7,1276.94,6.0
WO100293,OH-A113,2025-05-11,Scheduled,High,Open,6.5,400.78,7.7
WO100294,OH-A126,2025-04-05,Scheduled,Medium,Closed,9.2,702.47,15.8
WO100295,OH-A120,2025-01-05,Cabin,High,Closed,2.8,289.27,13.4
WO100296,OH-A100,2025-07-15,Inspection,High,Closed,4.6,267.09,17.9
WO100297,OH-A104,2025-07-23,Unscheduled,High,Closed,9.5,92.62,8.4
WO100298,OH-A130,2025-12-09,Inspection,Medium,Closed,5.1,628.1,6.5
WO100299,OH-A126,2025-04-05,Inspection,Low,Closed,6.0,246.62,17.3
WO100300,OH-A141,2025-01-01,Unscheduled,High,Closed,3.3,111.62,8.2
WO100301,OH-A103,2025-11-23,Inspection,High,Closed,3.1,222.98,12.0
WO100302,OH-A115,2025-08-06,Component Replacement,Medium,Closed,4.5,536.62,1.9
WO100303,OH-A118,2025-01-19,Scheduled,High,Closed,5.3,786.9,7.9
WO100304,OH-A132,2025-04-27,Unscheduled,Low,Closed,7.4,335.47,8.2
WO100305,OH-A120,2025-12-21,Unscheduled,Low,Closed,12.7,1174.01,8.1
WO100306,OH-A123,2025-11-11,Component Replacement,Low,Closed,3.1,1790.5,8.8
WO100307,OH-A144,2025-07-21,Component Replacement,Medium,Closed,2.2,302.85,17.0
WO100308,OH-A100,2025-02-05,Engine,Medium,Closed,2.0,1068.21,6.1
WO100309,OH-A142,2025-08-26,Unscheduled,Low,Closed,6.4,206.98,13.3
WO100310,OH-A113,2025-01-23,Inspection,Medium,Closed,7.4,109.91,3.0
WO100311,OH-A101,2025-05-23,Component Replacement,Medium,Closed,3.9,156.84,3.2
WO100312,OH-A125,2025-05-28,Unscheduled,Medium,Closed,6.2,169.94,4.6
WO100313,OH-A110,2025-10-11,Cabin,Low,Closed,10.0,260.41,5.4
WO100314,OH-A134,2025-09-03,Unscheduled,Low,Closed,5.0,2928.5,13.2
WO100315,OH-A136,2025-06-24,Inspection,Medium,Closed,4.8,238.98,8.9
WO100316,OH-A119,2025-01-03,Engine,Low,Closed,2.7,276.87,2.5
WO100317,OH-A137,2025-01-07,Component Replacement,Medium,Closed,7.2,470.41,9.5
WO100318,OH-A108,2025-10-24,Unscheduled,Medium,Closed,3.7,107.7,9.5
WO100319,OH-A116,2025-08-26,Unscheduled,High,Closed,8.2,466.8,0.6
WO100320,OH-A102,2025-05-03,Inspection,Low,Open,5.0,777.99,17.9
